0, 0.00000, 0.00000, 0.00000
2595, 0.00065, 0.00002, 0.00067
5865, 0.00151, 0.00004, 0.00155
9124, 0.00261, 0.00008, 0.00268
9617, 0.00269, 0.00009, 0.00278
15635, 0.00449, 0.00017, 0.00466
16126, 0.00500, 0.00019, 0.00519
17128, 0.00771, 0.00019, 0.00790
19720, 0.00653, 0.00026, 0.00679
20251, 0.00631, 0.00030, 0.00661
22893, 0.00788, 0.00031, 0.00820
23499, 0.00717, 0.00031, 0.00748
23944, 0.00731, 0.00031, 0.00761
24065, 0.00758, 0.00034, 0.00792
25317, 0.00789, 0.00035, 0.00824
25822, 0.00817, 0.00037, 0.00854
26220, 0.00873, 0.00037, 0.00910
26510, 0.00911, 0.00038, 0.00949
28741, 0.02163, 0.00042, 0.02206
28830, 0.00874, 0.00039, 0.00913
31675, 0.01018, 0.00050, 0.01067
35743, 0.03363, 0.00092, 0.03454
37318, 0.01221, 0.00067, 0.01288
45371, 0.01810, 0.00105, 0.01916
46098, 0.02665, 0.00106, 0.02771
53387, 0.01730, 0.00081, 0.01811
56025, 0.03167, 0.00119, 0.03285
56339, 0.01993, 0.01955, 0.03948
59427, 0.04403, 0.00114, 0.04517
60168, 0.05042, 0.00190, 0.05232
64197, 0.03423, 0.00149, 0.03572
82350, 0.06337, 0.00244, 0.06582
0, 0.00000, 0.00000, 0.00001
2595, 0.00059, 0.00002, 0.00061
5865, 0.00151, 0.00004, 0.00155
9124, 0.00246, 0.00008, 0.00254
9617, 0.00271, 0.00010, 0.00280
15635, 0.00444, 0.00016, 0.00459
16126, 0.00471, 0.00016, 0.00487
17128, 0.00545, 0.00020, 0.00565
19720, 0.00590, 0.00025, 0.00614
20251, 0.00613, 0.00026, 0.00639
22893, 0.00716, 0.00039, 0.00754
23499, 0.00728, 0.00033, 0.00761
23944, 0.00773, 0.00031, 0.00805
24065, 0.00770, 0.00031, 0.00802
25317, 0.00781, 0.00036, 0.00816
25822, 0.00814, 0.00032, 0.00847
26220, 0.00837, 0.00038, 0.00875
26510, 0.00823, 0.00083, 0.00907
28741, 0.00929, 0.00044, 0.00973
28830, 0.00925, 0.00042, 0.00967
31675, 0.01016, 0.00049, 0.01065
35743, 0.01131, 0.00061, 0.01193
37318, 0.01209, 0.00064, 0.01273
45371, 0.01407, 0.00065, 0.01472
46098, 0.01577, 0.00084, 0.01661
53387, 0.05523, 0.00115, 0.05638
56025, 0.04431, 0.00092, 0.04523
56339, 0.01973, 0.00114, 0.02086
59427, 0.04210, 0.00111, 0.04321
60168, 0.05722, 0.00126, 0.05848
64197, 0.02958, 0.00120, 0.03078
82350, 0.07444, 0.00202, 0.07646
0, 0.00000, 0.00000, 0.00000
2595, 0.00069, 0.00002, 0.00071
5865, 0.00151, 0.00004, 0.00155
9124, 0.00552, 0.00010, 0.00562
9617, 0.00267, 0.00008, 0.00275
15635, 0.00446, 0.00015, 0.00460
16126, 0.00469, 0.00016, 0.00485
17128, 0.00495, 0.00020, 0.00515
19720, 0.00588, 0.00024, 0.00612
20251, 0.00627, 0.00030, 0.00657
22893, 0.00698, 0.00030, 0.00728
23499, 0.00722, 0.00032, 0.00754
23944, 0.00723, 0.00030, 0.00753
24065, 0.00821, 0.00034, 0.00855
25317, 0.00957, 0.00034, 0.00991
25822, 0.00881, 0.00053, 0.00934
26220, 0.00859, 0.00036, 0.00896
26510, 0.00848, 0.00037, 0.00885
28741, 0.00957, 0.00047, 0.01004
28830, 0.00667, 0.00033, 0.00700
31675, 0.01044, 0.00211, 0.01255
35743, 0.03608, 0.00059, 0.03667
37318, 0.01217, 0.00061, 0.01278
45371, 0.01678, 0.00101, 0.01779
46098, 0.02892, 0.00083, 0.02974
53387, 0.01633, 0.00084, 0.01717
56025, 0.03063, 0.00114, 0.03177
56339, 0.02524, 0.00109, 0.02633
59427, 0.03440, 0.00118, 0.03557
60168, 0.02226, 0.00151, 0.02378
64197, 0.03056, 0.00130, 0.03187
82350, 0.04572, 0.00184, 0.04756
0, 0.00000, 0.00000, 0.00000
2595, 0.00060, 0.00002, 0.00062
5865, 0.00151, 0.00005, 0.00155
9124, 0.02579, 0.00007, 0.02587
9617, 0.00277, 0.00009, 0.00286
15635, 0.01111, 0.00016, 0.01127
16126, 0.03287, 0.00016, 0.03303
17128, 0.05226, 0.00019, 0.05245
19720, 0.06533, 0.00026, 0.06559
20251, 0.00660, 0.00028, 0.00688
22893, 0.05959, 0.00031, 0.05990
23499, 0.00725, 0.00035, 0.00759
23944, 0.01367, 0.00035, 0.01402
24065, 0.04664, 0.00038, 0.04701
25317, 0.03380, 0.00049, 0.03429
25822, 0.02109, 0.00035, 0.02144
26220, 0.00981, 0.00046, 0.01028
26510, 0.02208, 0.00034, 0.02243
28741, 0.05906, 0.00044, 0.05950
28830, 0.00936, 0.00041, 0.00977
31675, 0.01007, 0.04593, 0.05600
35743, 0.02263, 0.00068, 0.02331
37318, 0.01256, 0.00061, 0.01318
45371, 0.06555, 0.00087, 0.06643
46098, 0.03795, 0.00114, 0.03909
53387, 0.08094, 0.00111, 0.08205
56025, 0.02385, 0.00115, 0.02501
56339, 0.09121, 0.00096, 0.09217
59427, 0.07062, 0.00119, 0.07181
60168, 0.06409, 0.00123, 0.06532
64197, 0.07266, 0.00107, 0.07373
82350, 0.07758, 0.00194, 0.07952
0, 0.00000, 0.00000, 0.00000
2595, 0.00060, 0.00002, 0.00061
5865, 0.00152, 0.00004, 0.00156
9124, 0.00242, 0.00008, 0.00250
9617, 0.00264, 0.00009, 0.00273
15635, 0.00470, 0.00017, 0.00487
16126, 0.04841, 0.00017, 0.04858
17128, 0.00506, 0.00017, 0.00523
19720, 0.00600, 0.00025, 0.00625
20251, 0.00615, 0.00024, 0.00638
22893, 0.00760, 0.00030, 0.00790
23499, 0.00729, 0.00037, 0.00766
23944, 0.00720, 0.00034, 0.00754
24065, 0.00744, 0.00052, 0.00795
25317, 0.00780, 0.00034, 0.00814
25822, 0.00806, 0.00038, 0.00844
26220, 0.00817, 0.00035, 0.00852
26510, 0.00809, 0.00038, 0.00847
28741, 0.00782, 0.00032, 0.00814
28830, 0.01127, 0.00057, 0.01184
31675, 0.01096, 0.00054, 0.01150
35743, 0.01249, 0.00062, 0.01311
37318, 0.01222, 0.00073, 0.01295
45371, 0.01578, 0.00077, 0.01655
46098, 0.05615, 0.00088, 0.05703
53387, 0.06972, 0.00111, 0.07083
56025, 0.02645, 0.00135, 0.02781
56339, 0.05816, 0.00134, 0.05949
59427, 0.03704, 0.00118, 0.03822
60168, 0.05090, 0.00125, 0.05215
64197, 0.02598, 0.00124, 0.02722
82350, 0.08126, 0.00181, 0.08307
0, 0.00000, 0.00000, 0.00000
2595, 0.00059, 0.00002, 0.00061
5865, 0.00152, 0.00004, 0.00156
9124, 0.00248, 0.00008, 0.00257
9617, 0.00262, 0.00009, 0.00271
15635, 0.00450, 0.00016, 0.00466
16126, 0.00474, 0.00016, 0.00490
17128, 0.00499, 0.00020, 0.00519
19720, 0.00590, 0.00024, 0.00614
20251, 0.00621, 0.00031, 0.00652
22893, 0.00704, 0.00030, 0.00734
23499, 0.00753, 0.00040, 0.00793
23944, 0.00730, 0.00034, 0.00764
24065, 0.00742, 0.00032, 0.00773
25317, 0.00791, 0.00035, 0.00827
25822, 0.00801, 0.00039, 0.00841
26220, 0.00828, 0.00043, 0.00871
26510, 0.00813, 0.00034, 0.00847
28741, 0.00926, 0.00051, 0.00977
28830, 0.00926, 0.00042, 0.00968
31675, 0.01034, 0.00054, 0.01088
35743, 0.01144, 0.00063, 0.01207
37318, 0.01199, 0.00064, 0.01263
45371, 0.01455, 0.00079, 0.01533
46098, 0.01556, 0.01850, 0.03406
53387, 0.04341, 0.00137, 0.04478
56025, 0.03547, 0.00103, 0.03651
56339, 0.02079, 0.00177, 0.02255
59427, 0.02395, 0.00114, 0.02509
60168, 0.04033, 0.00288, 0.04321
64197, 0.02003, 0.00093, 0.02096
82350, 0.03049, 0.00191, 0.03240
